issue_id,layer,status,evidence,impact,propagation,severity,priority,recommended_fix
RC1,spot_close_learning,broken,"spot_engine.close_spot logs/deletes but never calls record_closed_trade or analyze_closed_trade; spot attribution rows=0","recent live spot trades do not teach the bot","no snapshots; no attribution; no retrain increments; no RBI incubation feedback","critical",1,"wire spot close path into learning_loop and post_trade_analyzer immediately"
RC2,spot_edge_calibration,dormant,"spot_edge_conditions rows=0; no calibrator events; latest nightly report lacks spot_edge_calibration","no derived per-symbol edge conditions","runtime falls back to permissive config","critical",2,"schedule/run calibrator for real and fail closed when calibration is stale or empty"
RC3,calibrator_lineage,broken,"calibrator joins scan_candidates to SELL timestamps within 300s and exact symbol; only 68/139 live spot sells match","derived edge dataset is badly incomplete","edge rules never become trustworthy","critical",3,"rebuild calibrator join on entry lineage or candidate_id/base_asset plus entry timestamp"
RC4,entry_priors_target,misaligned,"entry priors use hit_1r and no hit_stop over candidate_outcomes; live spot exits mostly thesis_decay","priors optimize wrong target for a fast fee-sensitive scalp","economics gate can admit trades with poor fast-follow-through expectancy","high",4,"change priors to fast net follow-through / thesis-decay aware targets"
RC5,setup_language_mismatch,misaligned,"priors bucket by scanner primary_setup while spot engine trades setup_family; recent mappings are ranging_mr->pullback_reclaim and momentum->pullback_reclaim","learning buckets do not line up with execution buckets","feedback cannot refine the actual live gate cleanly","high",5,"store and learn on both scanner setup and spot setup_family, with a canonical live setup key"
RC6,ml_inference_specificity,misaligned,"signal_engine._get_ml_score calls ModelStore without symbol; model files stale from 2026-04-13","ML score is generic and stale","symbol-specific adaptation is bypassed","high",6,"pass symbol through inference and retrain fresh models after backfill"
RC7,online_learner,dead_code,"repo search shows no callers of record_outcome or get_online_adjustment","no fast adaptation between retrains","repeated weak trade patterns are not downweighted quickly","medium",7,"either wire online learner into close/inference path or remove it from the mental model"
RC8,gate_permissiveness,too_loose,"min_confirm_count=0; min_5m_frame=0; min_path=0; most entries opportunistic pullback_reclaim with avg setup_score ~0.28","advanced spot math is mostly advisory","weak entries dominate and exits become cleanup","critical",8,"make setup_score and selected derivative features real edge gates again"
RC9,regime_behavior,misaligned,"recent entered spot regimes: NEUTRAL 117, CHOP 24, TREND 2","bot behaves more like neutral reclaim engine than burst-rider","strategy philosophy diverges from intended scalp style","high",9,"either embrace neutral reclaim explicitly or shift live admission toward burst/TREND-follow-through logic"
RC10,fee_edge_mismatch,negative_expectancy,"avg gross pnl before fees -0.0490; avg round-trip fee 1.1349; net win rate 0%","fees convert weak gross edge into universal net losses","route and economics layer cannot rescue poor pre-fee move quality","critical",10,"optimize for net-of-fee fast expectancy and suppress setups whose gross edge is too small"
RC11,route_quality,negative,"taker_fallback 84 closes vs maker_first 55; taker avg net -1.9144; maker avg net -1.5646","taker worsens already-bad trades","capital churn increases with low-quality fallback fills","medium",11,"require stronger evidence for taker or move to maker-dominant execution for marginal setups"
RC12,scanner_to_spot_feed,fragile,"49/143 recent entered spot candidates used PF_ symbols; SOL 22/33, ETH 18/20","spot execution inherits non-spot scanner context","lineage, priors, and microstructure assumptions become fragile","medium",12,"persist canonical base-asset lineage and clearly separate scanner symbol from executed symbol"
RC13,retrain_queue_monitoring,broken,"nightly audit queries ml_retrain_queue.status which does not exist, then reports pass","operator is misled about retrain health","queue fragmentation and pending work can be missed","medium",13,"fix audit query to current schema and report normalized pending counts"
RC14,nightly_audit_truth,misleading,"learning_health passes on legacy/global snapshots; attribution coverage reports absurd percentages","monitoring overstates learning health","problems stay invisible longer","medium",14,"split audit by lane and by current strategy epoch; tighten truth contracts"
